TVDSS,GR,NPHI,RHOB,DT,VCL,PHIE,target
3600.1365,61.4685,0.1858,2.4055,71.6894,0.394,0.0691,14.9334
3600.2864,62.629,0.1924,2.4159,71.8642,0.4515,0.0348,4.159
3600.4362,63.782,0.199,2.4262,72.0376,0.5088,0.0005,2.2383
3600.586,62.551,0.1945,2.423,71.765,0.4792,0.0158,2.7872
3600.7359,61.3199,0.1899,2.4199,71.4924,0.4495,0.0311,3.2901
3600.8857,60.0889,0.1854,2.4167,71.2197,0.4198,0.0464,3.4356
3601.0355,59.3047,0.1845,2.4129,71.547,0.4061,0.0553,3.612
3601.1854,58.7407,0.1855,2.4086,72.1699,0.4002,0.0611,4.0288
3601.3352,58.1768,0.1865,2.4044,72.7929,0.3944,0.0668,4.309
3601.485,57.8564,0.1873,2.4031,73.0081,0.3953,0.0672,5.6883
3601.6349,58.0161,0.188,2.4076,72.4194,0.4097,0.057,6.5832
3601.7847,58.1759,0.1887,2.412,71.8307,0.4241,0.0468,3.7132
3902.329,52.6736,0.0657,2.5057,63.5689,0.0384,0.0694,0.3998
3902.4786,52.77,0.0635,2.5121,63.2493,0.0415,0.0667,0.2269
3902.6282,52.8663,0.0612,2.5185,62.9298,0.0445,0.064,0.1893
3902.7777,52.9646,0.0589,2.5249,62.6107,0.0476,0.0613,0.1517
3902.9273,53.6836,0.0575,2.5245,62.4517,0.0434,0.0617,0.1144
3903.0769,54.4026,0.0561,2.5242,62.2926,0.0391,0.0621,0.1027
3903.2265,55.1217,0.0548,2.5238,62.1336,0.0349,0.0625,0.1691
3903.376,54.9686,0.0568,2.5211,62.7268,0.0366,0.0634,0.2356
3903.5256,54.3859,0.0606,2.5172,63.6906,0.0411,0.0647,0.1536
3903.6752,53.8032,0.0643,2.5134,64.6544,0.0457,0.066,0.258
3903.8247,53.1842,0.067,2.5103,65.488,0.0484,0.067,0.487
3903.9743,52.4936,0.0675,2.5087,66.0649,0.0476,0.0677,0.7266
3904.1239,51.8031,0.0681,2.5071,66.6419,0.0467,0.0684,0.9662
3904.2735,51.1155,0.0686,2.5055,67.2173,0.0459,0.0691,4.7464
3904.423,51.3314,0.0715,2.5047,67.3021,0.0526,0.0693,8.4414
3904.5726,51.5473,0.0744,2.5038,67.387,0.0592,0.0696,3.743
3904.7222,51.7632,0.0773,2.503,67.4719,0.0659,0.0698,0.4166
3904.8718,52.6766,0.0817,2.4951,67.6815,0.0663,0.0734,0.5578
3905.0213,53.9337,0.0868,2.4837,67.9525,0.0636,0.0786,0.9319
3905.1709,55.1908,0.0918,2.4723,68.2235,0.0609,0.0838,1.1767
3905.3205,55.869,0.0944,2.4678,68.1556,0.0613,0.0858,1.3852
3905.4701,55.4061,0.092,2.4769,67.4197,0.068,0.0815,1.755
3905.6196,54.9432,0.0896,2.486,66.6838,0.0746,0.0772,2.128
3905.7692,54.4794,0.0872,2.4951,65.951,0.0812,0.073,1.4239
3905.9188,53.7346,0.0878,2.495,66.2045,0.0828,0.0731,0.9814
3906.0684,52.9897,0.0885,2.4949,66.458,0.0844,0.0732,0.6775
3906.2179,52.2449,0.0891,2.4948,66.7115,0.086,0.0733,0.5447
3906.3675,52.0824,0.0925,2.5003,67.2349,0.103,0.0707,0.4118
3906.5171,52.207,0.0972,2.5085,67.8912,0.1276,0.0668,0.2922
3906.6667,52.3315,0.102,2.5167,68.5475,0.1522,0.0629,0.6266
3906.8162,53.9396,0.1091,2.5261,69.3997,0.1848,0.0582,0.9666
3906.9658,58.4722,0.1209,2.5378,70.6381,0.2334,0.0521,0.7542
3907.1154,63.0048,0.1326,2.5494,71.8765,0.282,0.046,0.5418
3907.2649,67.5328,0.1444,2.561,73.1147,0.3306,0.0399,0.4772
3907.4145,70.6438,0.158,2.5737,74.2949,0.3854,0.0299,0.454
3907.5641,73.7548,0.1715,2.5864,75.475,0.4401,0.0198,0.0969
3907.7137,76.8658,0.185,2.599,76.6551,0.4948,0.0098,0.0953
3907.8632,76.2163,0.1783,2.5896,76.2045,0.463,0.016,0.101
3908.0128,73.7139,0.1615,2.5692,74.9503,0.3884,0.0302,0.1096
3908.1624,71.2115,0.1447,2.5488,73.6961,0.3138,0.0444,0.1182
3908.312,68.1294,0.1295,2.5299,72.3926,0.2454,0.0564,0.1412
3908.4615,63.9046,0.1172,2.5137,70.9921,0.189,0.0641,0.208
3908.6111,59.6798,0.1049,2.4976,69.5915,0.1327,0.0719,0.2749
3908.7607,55.4703,0.0927,2.4815,68.1961,0.0765,0.0796,5.2123
3908.9103,55.9519,0.0956,2.4801,68.3675,0.0824,0.08,7.6434
3909.0598,56.4336,0.0986,2.4787,68.539,0.0883,0.0804,8.143
3909.2094,56.9153,0.1015,2.4773,68.7105,0.0942,0.0808,6.2565
3909.359,56.7453,0.099,2.4852,68.244,0.0988,0.0771,4.37
3909.5086,56.2543,0.0937,2.4977,67.4633,0.1026,0.0713,1.6391
3909.6581,55.7632,0.0885,2.5102,66.6825,0.1064,0.0656,3.8484
3909.8077,55.4508,0.0832,2.5181,65.9198,0.1034,0.0621,3.0838
3909.9573,55.4908,0.0778,2.5168,65.1928,0.0869,0.0631,1.4836
3910.1068,55.5307,0.0724,2.5155,64.4658,0.0705,0.064,0.5965
3910.2564,55.5671,0.067,2.5142,63.7405,0.0541,0.065,1.2673
3910.406,54.5097,0.0654,2.5153,63.5678,0.0514,0.0646,1.9381
3910.5556,53.4524,0.0639,2.5163,63.3951,0.0487,0.0642,2.0544
3910.7051,52.395,0.0623,2.5174,63.2224,0.046,0.0638,1.7704
3910.8547,51.6714,0.0625,2.5134,63.4549,0.0407,0.0657,1.6291
3911.0043,51.1121,0.0635,2.5069,63.8871,0.0341,0.0688,1.6641
3911.1539,50.5529,0.0644,2.5005,64.3192,0.0275,0.0718,1.7336
3911.3034,50.7537,0.0662,2.4959,64.6906,0.0254,0.0739,1.9596
3911.453,52.4525,0.0693,2.4948,64.9421,0.0324,0.0742,1.7642
3911.6026,54.1514,0.0724,2.4938,65.1936,0.0394,0.0745,1.8039
3911.7522,55.8433,0.0755,2.4928,65.446,0.0463,0.0748,1.4775
3911.9017,55.4227,0.0778,2.4896,65.9645,0.0479,0.0762,0.6989
3912.0513,55.0021,0.0801,2.4864,66.483,0.0495,0.0777,0.1711
3912.2009,54.5815,0.0823,2.4832,67.0015,0.0511,0.0791,0.4066
3912.3505,55.1801,0.0807,2.4905,66.3721,0.057,0.0759,0.642
3826.229,102.3252,0.1363,2.5227,73.0094,0.3532,0.0541,0.0435
3826.3782,103.2656,0.1329,2.5097,73.8221,0.3198,0.0615,0.0841
3826.5273,99.2093,0.1228,2.4948,72.6177,0.2661,0.07,0.2334
3826.6764,91.8228,0.1092,2.479,72.3134,0.2058,0.0783,0.5691
3826.8256,85.0786,0.1013,2.4682,72.2467,0.1667,0.0834,0.797
